File Name,brakes_DATA_MAX_TORQUE,brakes_DATA_FRONT_SHARE,drivetrain_DIFFERENTIAL_POWER,drivetrain_DIFFERENTIAL_COAST,drivetrain_DIFFERENTIAL_PRELOAD,suspensions_BASIC_WHEELBASE,suspensions_BASIC_CG_LOCATION,suspensions_ARB_FRONT,suspensions_ARB_REAR,suspensions_FRONT_TRACK,suspensions_FRONT_ROD_LENGTH,suspensions_FRONT_TOE_OUT,suspensions_FRONT_STATIC_CAMBER,suspensions_FRONT_SPRING_RATE,suspensions_FRONT_BUMP_STOP_RATE,suspensions_FRONT_PACKER_RANGE,suspensions_FRONT_DAMP_BUMP,suspensions_FRONT_DAMP_FAST_BUMP,suspensions_FRONT_DAMP_REBOUND,suspensions_FRONT_DAMP_FAST_REBOUND,suspensions_REAR_TRACK,suspensions_REAR_ROD_LENGTH,suspensions_REAR_TOE_OUT,suspensions_REAR_STATIC_CAMBER,suspensions_REAR_SPRING_RATE,suspensions_REAR_BUMP_STOP_RATE,suspensions_REAR_PACKER_RANGE,suspensions_REAR_DAMP_BUMP,suspensions_REAR_DAMP_FAST_BUMP,suspensions_REAR_DAMP_REBOUND,suspensions_REAR_DAMP_FAST_REBOUND,tyres_FRONT_PRESSURE_STATIC,tyres_REAR_PRESSURE_STATIC,Fastest Lap
input1_20.csv,561.83211,0.5308,0.05045,0.63298,23.75019,1.56548,0.54539,61070.52942,30992.66235,1.26072,0.00854,0.00116,0.11078,37757.30379,170585.72131,0.08332,3369.19898,1450.27141,1824.28779,1329.53629,1.03351,0.01429,-0.00117,0.02467,55889.14137,129965.67867,0.08927,3221.64699,510.86982,4400.56017,1492.95433,13.89089,8.44881,43735
input1_21.csv,542.79313,0.52542,0.98902,0.06738,19.48927,1.65987,0.51408,146054.8786,25396.37531,1.22758,0.02337,0.00362,-2.13242,34685.57816,160774.22668,0.07579,1956.46337,3457.10106,3706.0638,1539.22398,1.34664,0.01977,0.00066,-0.97827,31714.02234,64131.052,0.10242,2268.63027,2496.76357,2278.87651,2256.70207,11.45936,17.47092,40444
input1_22.csv,500.72475,0.68583,0.35591,0.23782,12.57652,1.65547,0.55218,117788.48068,117165.02169,1.2458,0.01677,0.00149,-2.66994,35858.45434,60063.74528,0.05177,1904.55042,1186.03634,3123.47153,1826.81991,1.25568,0.01815,-0.00056,0.17753,32230.1143,100161.96035,0.04829,1398.79024,3318.92571,4037.67281,1879.33195,9.42231,12.76861,41475
input1_23.csv,679.21903,0.54718,0.59237,0.79296,12.33438,1.56112,0.47398,86560.34297,49374.85828,1.1052,0.00091,0.0006,-2.92659,24790.02315,73868.0155,0.05633,3006.77964,1984.24024,2174.92938,2141.46805,1.37013,0.0062,0.00342,-0.19242,25067.0186,87273.50409,0.06564,3500.89916,3130.37496,1989.08081,1472.23012,15.8943,10.35222,44359
input1_24.csv,790.55509,0.6582,0.06937,0.5111,18.29786,1.54587,0.41731,39684.28447,145077.26412,1.36222,0.02591,0.00302,-2.70087,43696.24771,193011.80489,0.10518,2572.55397,1622.57282,2203.36444,1041.30115,1.30851,0.00701,0.00356,-2.47687,34792.67388,119161.99136,0.11152,2466.6503,711.89177,3516.85544,2707.87679,9.18703,14.75114,41308
input1_25.csv,781.72616,0.6285,0.63287,0.31125,18.51032,1.72968,0.40473,4544.17437,17395.15084,1.0876,0.02322,0.00101,0.09547,21959.12376,186411.42539,0.11286,3384.79493,1834.53844,3652.30083,1143.31813,1.22373,0.02678,0.00182,-0.12138,49675.84259,188429.06769,0.04424,1511.81166,1003.28781,4195.36159,2068.46603,13.96513,8.68237,43846
input1_26.csv,598.62008,0.78784,0.90172,0.39824,12.67254,1.65076,0.48218,20249.78916,121074.19681,1.00283,0.00818,0.00338,-1.97998,21246.43721,53566.3613,0.10821,1877.98717,2979.75989,3707.71141,1997.413,1.31418,0.0011,0.00283,-1.0901,58788.29458,188562.57874,0.10327,3999.86029,2002.63756,4177.37391,2616.32937,10.6168,16.17211,40034
input1_27.csv,742.75459,0.66158,0.74081,0.82422,1.46232,1.74964,0.52041,147744.17883,141651.4757,1.36035,0.02089,0.00051,-1.50271,43182.41926,120814.7532,0.05643,1584.23839,1305.42475,1716.83219,2567.36659,1.08671,0.01015,0.00093,-1.9702,49499.14832,100153.67861,0.08914,1027.29978,2345.82201,2657.75756,3497.84918,15.47607,13.17604,41702
input1_28.csv,644.50754,0.50338,0.07314,0.47577,1.32352,1.74872,0.35462,143284.10385,35079.16725,1.23837,0.02684,-0.00096,-0.49956,40193.25906,101154.64922,0.07936,2615.70352,3087.56408,1673.1496,3193.24767,1.14432,0.01654,0.00158,-2.26907,21460.60437,130337.15984,0.06543,2204.05852,1844.56194,3933.53871,1010.33638,7.28414,13.52699,40681
input1_29.csv,428.76776,0.80231,0.76515,0.82146,19.5707,1.562,0.44593,87416.71882,84256.26164,1.12967,0.0255,0.00133,-1.07017,24650.18944,187310.0499,0.10938,1756.44963,983.24383,3217.8921,2759.30791,1.03772,0.00935,0.00015,-0.61541,63465.21155,137675.76501,0.10888,3664.33695,3461.12177,3234.86586,2838.4367,17.79766,11.45303,40199
