,WorldPosition_X,WorldPosition_Z
363,-45.91901398,57.43983459
364,-45.93536758,57.33617401
365,-45.95258713,57.22943115
366,-45.96921539,57.12982941
367,-45.98853683,57.01814651
368,-46.00845718,56.90365219
369,-46.02659225,56.79669571
370,-46.04761887,56.67686081
371,-46.06928253,56.55441666
372,-46.0903244,56.42921066
373,-46.11309433,56.28880692
374,-46.13904953,56.14631653
375,-46.1652832,56.01516724
376,-46.19130325,55.88299179
377,-46.21814728,55.7488327
378,-46.24461365,55.60975647
379,-46.26972961,55.45598984
380,-46.29095459,55.31159973
381,-46.31317139,55.16445923
382,-46.33747101,55.01476669
383,-46.3640976,54.86288071
384,-46.39519882,54.69553757
385,-46.42357635,54.54022217
386,-46.45415497,54.36692429
387,-46.48096848,54.20594406
388,-46.49084091,54.08710098
389,-46.51942444,53.97160721
390,-46.56476212,53.85544586
391,-46.58004379,53.76977921
392,-46.603405,53.68457031
393,-46.6297226,53.59814453
394,-46.65452576,53.51098633
395,-46.67837524,53.41504669
396,-46.69708252,53.31673813
397,-46.71484375,53.21521759
398,-46.73720932,53.12711334
399,-46.7633934,53.04360962
400,-46.78516769,52.96328735
401,-46.80643463,52.88480759
402,-46.82939911,52.80688858
403,-46.85149002,52.7274971
404,-46.87175751,52.63753891
405,-46.8853035,52.55241776
406,-46.9011879,52.46295547
407,-46.91467285,52.38484573
408,-46.93746185,52.29133224
409,-46.96541214,52.18647385
410,-46.98497772,52.08474731
411,-47.00231934,51.98040009
412,-47.01988983,51.87234116
413,-47.03752518,51.77107239
414,-47.06219864,51.66962814
415,-47.0923233,51.55604553
416,-47.11339188,51.44744873
417,-47.12978745,51.34587479
418,-47.15081406,51.23204803
419,-47.17692184,51.11635208
420,-47.20458603,50.99793625
421,-47.22919846,50.87601471
422,-47.25260544,50.73897552
423,-47.27536011,50.61065674
424,-47.30237961,50.48027039
425,-47.33464432,50.33520126
426,-47.36257172,50.19885254
427,-47.39021301,50.04623795
428,-47.415905,49.90341568
429,-47.44446945,49.75826263
430,-47.47783279,49.59703064
431,-47.50769043,49.44614029
432,-47.53599167,49.29214096
433,-47.56689072,49.12095261
434,-47.59968948,48.94679642
435,-47.63101959,48.78443909
436,-47.66199875,48.61924744
437,-47.69469452,48.43569946
438,-47.72451401,48.26457596
439,-47.75505066,48.09085464
440,-47.78588867,47.91447067
441,-47.81897354,47.71885681
442,-47.84838867,47.53661728
443,-47.8775177,47.35165405
444,-47.90977097,47.14691162
445,-47.9394722,46.95645905
446,-47.96871185,46.76330185
447,-47.99739456,46.56745148
448,-48.0256424,46.36894608
449,-48.05365372,46.16781998
450,-48.0810318,45.96405792
451,-48.10747528,45.7576561
452,-48.13303375,45.54862976
453,-48.15564346,45.35635757
454,-48.17771149,45.16195297
455,-48.20129013,44.94564056
456,-48.22402573,44.72673416
457,-48.2439003,44.52548218
458,-48.26298523,44.32209778
459,-48.28303146,44.09591675
460,-48.30029297,43.88805771
461,-48.31653976,43.67807388
462,-48.33315659,43.44464874
463,-48.34851456,43.20866776
464,-48.36266327,42.97015381
465,-48.37558365,42.72911453
466,-48.38710785,42.48554993
467,-48.39703751,42.23946381
468,-48.40459442,42.01358414
469,-48.41136932,41.7627449
470,-48.41625214,41.5325737
471,-48.41987228,41.30040359
472,-48.42211151,41.06624222
473,-48.4227829,40.80636597
